what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798573077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798576373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798576741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798583059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798585805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798587829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798594924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342798602588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342798603634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798604141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798610028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798614099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798614770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798616104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798622267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798622717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798630167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798635323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798635684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798643975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798651036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798651461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798657160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342798661698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342798662095
