what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770947408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770948794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770960775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770960851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770961219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770961920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770972711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770975437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770978889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342770979545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771025996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771028250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771029431
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342771029536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771031743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771034433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771056983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771067758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771073759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771074129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771083189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771084527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771085453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771087521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771102804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771102854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771103493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771105111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771111121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771112489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771165747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771168894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771171854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771173591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771200108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771200545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771205888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771224963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771238502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771246986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771247442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771247938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771250302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771250849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342771251479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771253043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771307705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771308849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771317432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342771319584
