"ticker","company","sector","url"
"MMM","3M Co.","Industrials","http://finance.yahoo.com/q?s=MMM"
"ACE","ACE Limited","Financials","http://finance.yahoo.com/q?s=ACE"
"ABT","Abbott Laboratories","Health Care","http://finance.yahoo.com/q?s=ABT"
"ANF","Abercrombie  Fitch Company A","Consumer Discretionary","http://finance.yahoo.com/q?s=ANF"
"ACN","Accenture","Information Technology","http://finance.yahoo.com/q?s=ACN"
"ADBE","Adobe Systems Inc","Information Technology","http://finance.yahoo.com/q?s=ADBE"
"AMD","Advanced Micro Devices","Information Technology","http://finance.yahoo.com/q?s=AMD"
"AES","AES Corp","Utilities","http://finance.yahoo.com/q?s=AES"
"AET","Aetna Inc","Health Care","http://finance.yahoo.com/q?s=AET"
"AFL","AFLAC Inc","Financials","http://finance.yahoo.com/q?s=AFL"
"A","Agilent Technologies Inc","Health Care","http://finance.yahoo.com/q?s=A"
"GAS","AGL Resources Inc.","Utilities","http://finance.yahoo.com/q?s=GAS"
"APD","Air Products  Chemicals Inc","Materials","http://finance.yahoo.com/q?s=APD"
"ARG","Airgas Inc","Materials","http://finance.yahoo.com/q?s=ARG"
"AKAM","Akamai Technologies Inc","Information Technology","http://finance.yahoo.com/q?s=AKAM"
"AA","Alcoa Inc","Materials","http://finance.yahoo.com/q?s=AA"
"ALXN","Alexion Pharmaceuticals","Health Care","http://finance.yahoo.com/q?s=ALXN"
"ATI","Allegheny Technologies Inc","Materials","http://finance.yahoo.com/q?s=ATI"
"AGN","Allergan Inc","Health Care","http://finance.yahoo.com/q?s=AGN"
"ALL","Allstate Corp","Financials","http://finance.yahoo.com/q?s=ALL"
"ANR","Alpha Natural Resources","Energy","http://finance.yahoo.com/q?s=ANR"
"ALTR","Altera Corp","Information Technology","http://finance.yahoo.com/q?s=ALTR"
"MO","Altria Group Inc","Consumer Staples","http://finance.yahoo.com/q?s=MO"
"AMZN","Amazon.com Inc","Consumer Discretionary","http://finance.yahoo.com/q?s=AMZN"
"AEE","Ameren Corp","Utilities","http://finance.yahoo.com/q?s=AEE"
"AEP","American Electric Power","Utilities","http://finance.yahoo.com/q?s=AEP"
"AXP","American Express Co","Financials","http://finance.yahoo.com/q?s=AXP"
"AIG","American Intl Group Inc","Financials","http://finance.yahoo.com/q?s=AIG"
"AMT","American Tower Corp A","Financials","http://finance.yahoo.com/q?s=AMT"
"AMP","Ameriprise Financial","Financials","http://finance.yahoo.com/q?s=AMP"
"ABC","AmerisourceBergen Corp","Health Care","http://finance.yahoo.com/q?s=ABC"
"AMGN","Amgen Inc","Health Care","http://finance.yahoo.com/q?s=AMGN"
"APH","Amphenol Corp A","Industrials","http://finance.yahoo.com/q?s=APH"
"APC","Anadarko Petroleum Corp","Energy","http://finance.yahoo.com/q?s=APC"
"ADI","Analog Devices Inc","Information Technology","http://finance.yahoo.com/q?s=ADI"
"AON","Aon plc","Financials","http://finance.yahoo.com/q?s=AON"
"APA","Apache Corporation","Energy","http://finance.yahoo.com/q?s=APA"
"AIV","Apartment Investment  Mgmt","Financials","http://finance.yahoo.com/q?s=AIV"
"APOL","Apollo Group Inc","Consumer Discretionary","http://finance.yahoo.com/q?s=APOL"
"AAPL","Apple Inc.","Information Technology","http://finance.yahoo.com/q?s=AAPL"
"AMAT","Applied Materials Inc","Information Technology","http://finance.yahoo.com/q?s=AMAT"
"ADM","Archer-Daniels-Midland Co","Consumer Staples","http://finance.yahoo.com/q?s=ADM"
"AIZ","Assurant Inc","Financials","http://finance.yahoo.com/q?s=AIZ"
"T","ATT Inc","Telecommunications Services","http://finance.yahoo.com/q?s=T"
"ADSK","Autodesk Inc","Information Technology","http://finance.yahoo.com/q?s=ADSK"
"ADP","Automatic Data Processing","Information Technology","http://finance.yahoo.com/q?s=ADP"
"AN","AutoNation Inc","Consumer Discretionary","http://finance.yahoo.com/q?s=AN"
"AZO","AutoZone Inc","Consumer Discretionary","http://finance.yahoo.com/q?s=AZO"
"AVB","AvalonBay Communities, Inc.","Financials","http://finance.yahoo.com/q?s=AVB"
"AVY","Avery Dennison Corp","Industrials","http://finance.yahoo.com/q?s=AVY"
"AVP","Avon Products","Consumer Staples","http://finance.yahoo.com/q?s=AVP"
"BHI","Baker Hughes Inc","Energy","http://finance.yahoo.com/q?s=BHI"
"BLL","Ball Corp","Materials","http://finance.yahoo.com/q?s=BLL"
"BAC","Bank of America Corp","Financials","http://finance.yahoo.com/q?s=BAC"
"BK","The Bank of New York Mellon Corp.","Financials","http://finance.yahoo.com/q?s=BK"
"BCR","Bard (C.R.) Inc.","Health Care","http://finance.yahoo.com/q?s=BCR"
"BAX","Baxter International Inc.","Health Care","http://finance.yahoo.com/q?s=BAX"
"BBT","BBT Corporation","Financials","http://finance.yahoo.com/q?s=BBT"
"BEAM","Beam Inc.","Consumer Discretionary","http://finance.yahoo.com/q?s=BEAM"
"BDX","Becton Dickinson","Health Care","http://finance.yahoo.com/q?s=BDX"
